issuer,metric,period_end,value,form,fy,fp,frame
JPMorgan Chase,total_assets,2008-12-31,2175052000000,10-Q,2009.0,Q2,
JPMorgan Chase,total_assets,2008-12-31,2175052000000,10-K,2009.0,FY,CY2008Q4I
JPMorgan Chase,total_assets,2009-06-30,2026642000000,10-Q,2009.0,Q2,CY2009Q2I
JPMorgan Chase,total_assets,2009-09-30,2041009000000,10-Q,2009.0,Q3,CY2009Q3I
JPMorgan Chase,total_assets,2009-12-31,2031989000000,10-K,2009.0,FY,
JPMorgan Chase,total_assets,2009-12-31,2031989000000,10-Q,2010.0,Q1,
JPMorgan Chase,total_assets,2010-03-31,2135796000000,10-Q,2010.0,Q1,CY2010Q1I
JPMorgan Chase,total_assets,2010-06-30,2014019000000,10-Q,2010.0,Q2,CY2010Q2I
JPMorgan Chase,total_assets,2010-09-30,2141595000000,10-Q,2010.0,Q3,CY2010Q3I
JPMorgan Chase,total_assets,2010-12-31,2117605000000,10-K,2010.0,FY,
JPMorgan Chase,total_assets,2010-12-31,2117605000000,10-Q,2011.0,Q1,
JPMorgan Chase,total_assets,2011-03-31,2198161000000,10-Q,2011.0,Q1,
JPMorgan Chase,total_assets,2011-06-30,2246764000000,10-Q,2011.0,Q2,
JPMorgan Chase,total_assets,2011-09-30,2289240000000,10-Q,2011.0,Q3,
JPMorgan Chase,total_assets,2011-12-31,2265792000000,10-K,2011.0,FY,
JPMorgan Chase,total_assets,2011-12-31,2265792000000,10-Q,2012.0,Q1,
JPMorgan Chase,total_assets,2012-03-31,2320330000000,10-Q,2012.0,Q1,
JPMorgan Chase,total_assets,2012-06-30,2290146000000,10-Q,2012.0,Q2,
JPMorgan Chase,total_assets,2012-09-30,2321284000000,10-Q,2012.0,Q3,
JPMorgan Chase,total_assets,2012-12-31,2359141000000,10-K,2012.0,FY,
JPMorgan Chase,total_assets,2012-12-31,2359141000000,10-Q,2013.0,Q1,
JPMorgan Chase,total_assets,2013-03-31,2389349000000,10-Q,2013.0,Q1,
